feature,importance,fold
024c577b9,328.3450035790447,210
0572565c2,142.8765878318809,210
0ff32eb98,784.4525683182292,210
15ace8c9f,700.2321306776721,210
1702b5bf0,1978.833589487709,210
190db8488,171.63101104833186,210
1931ccfdd,1637.3522519475664,210
1db387535,2842.0826675137505,210
20aa07010,2379.590034340741,210
23310aa6f,898.209147487767,210
241f0f867,677.5834523364902,210
26fc93eb7,497.2015002090484,210
2ec5b290f,12.086304318159819,210
324921c7b,3327.984178107581,210
491b9ee45,184.4075562255457,210
58232a6fb,321.0010007880628,210
58e056e12,377.6925601735711,210
58e2e02e6,5.202823117375374,210
5c6487af1,66.39165567234159,210
62e59a501,78.33125601708889,210
6619d81fc,168.8023628788069,210
66ace2992,417.5489461424295,210
6eef030c1,392.0285717146471,210
703885424,358.7955457121934,210
70feb1494,143.93127777054906,210
91f701ba2,759.918164143106,210
963a49cdc,300.9038589335978,210
9fd594eec,152.44636165187694,210
LEAK_COL_KURT,4218.000307846873,210
LEAK_COL_MAX,7396.068702461838,210
LEAK_COL_MAXMIN_RATIO,14230.940382451623,210
LEAK_COL_MEAN,21229.832152649135,210
LEAK_COL_MIN,35083.07964572914,210
LEAK_COL_NUM_NAN,534.1753640496172,210
LEAK_COL_RANGE,5482.304320001975,210
LEAK_COL_SKEW,2750.3820794834755,210
LEAK_COL_STD,3289.4899009634973,210
LEAK_COL_SUM,11200.217574113176,210
TARGET_KURT,0.0,210
TARGET_MAX,33993.62957997527,210
TARGET_MAXMIN_RATIO,176.1510009765625,210
TARGET_MEAN,300234.37519923405,210
TARGET_MIN,364766.1266830333,210
TARGET_NUM_NAN,19719.034947305918,210
TARGET_RANGE,573.5540008544922,210
TARGET_SKEW,0.0,210
TARGET_STD,0.0,210
TARGET_SUM,8270.222120595066,210
adb64ff71,36.18406544625759,210
b43a7cfd5,1105.163921522908,210
c47340d97,102.17467665299773,210
c5a231d81,95.53830222878605,210
compiled_leak,10492831.295396164,210
d6bb78916,381.4962408989668,210
e176a204a,651.2994467457756,210
eeb9cd3aa,176.66562267392874,210
f190486d6,1882.3151938984593,210
f74e8f13d,1743.0791729092598,210
fb0f5dbfe,1083.6720894002356,210
fb49e4212,0.809941578656435,210
fc99f9426,1.6559732146561146,210
index,11145.353714917903,210
index10,0.0,210
index11,0.0,210
index12,0.0,210
index13,0.0,210
index14,0.0,210
index15,0.0,210
index16,3.225844979286194,210
index17,0.0,210
index18,0.0,210
index19,0.0,210
index2,0.0,210
index20,44.507634833455086,210
index21,3.07941997051239,210
index22,0.0,210
index23,0.0,210
index24,0.0,210
index25,0.0,210
index26,0.0,210
index27,0.0,210
index28,1.5876250267028809,210
index29,0.0,210
index3,0.0,210
index30,0.0,210
index31,0.0,210
index32,0.0,210
index33,0.0,210
index34,0.0,210
index35,0.0,210
index36,0.0,210
index37,38.206205904483795,210
index38,0.0,210
index39,0.0,210
index4,0.0,210
index40,0.0,210
index41,0.0,210
index42,0.0,210
index43,0.0,210
index44,0.0,210
index45,0.0,210
index46,0.0,210
index47,0.0,210
index48,0.0,210
index49,0.0,210
index5,19.98577481508255,210
index50,0.0,210
index51,0.0,210
index52,0.0,210
index53,0.0,210
index54,0.0,210
index55,0.0,210
index56,0.0,210
index57,0.0,210
index58,0.0,210
index59,0.0,210
index6,0.0,210
index60,0.0,210
index61,0.0,210
index62,0.0,210
index63,0.0,210
index64,0.0,210
index65,0.0,210
index66,0.0,210
index67,0.0,210
index68,0.0,210
index69,0.0,210
index7,0.0,210
index70,0.0,210
index71,0.0,210
index72,0.0,210
index73,0.0,210
index74,0.0,210
index75,0.0,210
index76,0.0,210
index77,0.0,210
index78,0.0,210
index79,0.0,210
index8,0.0,210
index80,0.0,210
index81,0.0,210
index82,0.0,210
index83,0.0,210
index84,0.0,210
index85,0.0,210
index86,0.0,210
index87,0.0,210
index88,0.0,210
index89,0.0,210
index9,0.0,210
index90,0.0,210
index91,0.0,210
index92,0.0,210
index93,0.0,210
index94,0.0,210
index95,0.0,210
index96,0.0,210
index97,0.0,210
index98,0.0,210
index99,0.0,210
leaked_target_0,0.5554596352740191,210
leaked_target_1,4.961573535161733,210
leaked_target_10,0.0,210
leaked_target_11,0.03527654008939862,210
leaked_target_12,0.0,210
leaked_target_13,0.09168429940473288,210
leaked_target_14,0.0,210
leaked_target_15,13.141805847189971,210
leaked_target_16,0.29554209508933127,210
leaked_target_17,0.2970561970723793,210
leaked_target_18,0.21912575280293822,210
leaked_target_19,0.0,210
leaked_target_2,1.6081726711418014,210
leaked_target_20,0.3384064205165487,210
leaked_target_21,0.05346370115876198,210
leaked_target_22,0.0,210
leaked_target_23,0.0,210
leaked_target_24,0.0,210
leaked_target_25,0.0,210
leaked_target_26,0.00207497994415462,210
leaked_target_27,0.09036754094995558,210
leaked_target_28,0.0,210
leaked_target_29,0.0,210
leaked_target_3,2.097621095555951,210
leaked_target_30,0.0,210
leaked_target_31,0.03957579028792679,210
leaked_target_32,0.0,210
leaked_target_33,0.0,210
leaked_target_34,0.0027435289812274277,210
leaked_target_35,0.018279749900102615,210
leaked_target_36,0.0030422399286180735,210
leaked_target_37,0.0,210
leaked_target_4,0.13537166989408433,210
leaked_target_5,0.03503750078380108,210
leaked_target_6,0.01319840014912188,210
leaked_target_7,0.0,210
leaked_target_8,0.10457901982590556,210
leaked_target_9,0.03828069940209389,210
nonzero_mean,388120.85523829027,210
