feature,importance,fold
024c577b9,35.671514886339956,210
0572565c2,66.14889671407573,210
0ff32eb98,27.42022027407522,210
15ace8c9f,36.26817753499824,191
1702b5bf0,49.34048555749289,210
190db8488,64.79966954346526,210
1931ccfdd,97.69257357087112,210
1db387535,95.08901841407793,210
20aa07010,39.03096185859559,210
23310aa6f,89.16161055146068,210
241f0f867,85.00567531657957,210
26fc93eb7,75.28334285246396,199
2ec5b290f,51.52947454679645,198
324921c7b,89.51819549856845,210
491b9ee45,50.00311974963871,210
58232a6fb,41.04159392773898,210
58e056e12,57.457162748916666,210
58e2e02e6,59.98417268309335,210
5c6487af1,43.50840730259542,210
62e59a501,45.740755988987424,210
6619d81fc,57.60757284199639,210
66ace2992,53.54458399090579,210
6eef030c1,34.33931189851058,210
703885424,64.30843671805056,210
70feb1494,69.2955337011063,210
91f701ba2,35.00822573338202,210
963a49cdc,77.94396152426003,210
9fd594eec,39.07640609977185,204
LEAK_COL_KURT,131.49694608080046,210
LEAK_COL_MAX,174.79287625428955,210
LEAK_COL_MAXMIN_RATIO,105.89502731492604,210
LEAK_COL_MEAN,290.58765044821564,210
LEAK_COL_MEDIAN,279.4084146703855,210
LEAK_COL_MIN,174.74064960233835,210
LEAK_COL_NUM_NAN,102.32726775825759,210
LEAK_COL_RANGE,103.45803186769568,210
LEAK_COL_SKEW,96.15720244317717,210
LEAK_COL_STD,114.83010200659754,210
LEAK_COL_SUM,126.14291498834866,210
TARGET_KURT,318.4207681930083,159
TARGET_MAX,1405.7469940458575,210
TARGET_MAXMIN_RATIO,113.64746060380156,210
TARGET_MEAN,1760.195243840681,210
TARGET_MEDIAN,2759.480746882655,210
TARGET_MIN,4002.4490169783544,210
TARGET_NUM_NAN,52.66648731858587,186
TARGET_RANGE,145.02708673989773,210
TARGET_SKEW,113.87038550145833,210
TARGET_STD,86.89710961908472,203
TARGET_SUM,408.8180201245384,210
adb64ff71,26.631777913019167,197
b43a7cfd5,89.40383288246628,210
c47340d97,38.44316064219613,210
c5a231d81,39.483015533295585,210
compiled_leak,2097.1992438544553,210
d6bb78916,104.75890392098262,210
e176a204a,55.13591317034144,210
eeb9cd3aa,63.66356338531262,210
f190486d6,44.310089350817634,210
f74e8f13d,87.62743076783397,210
fb0f5dbfe,90.54192083039243,210
fb49e4212,24.446922965335858,210
fc99f9426,40.81425047663461,192
index,94.3609424984173,210
index10,83.45828472474058,210
index11,59.116911946368006,191
index12,30.149472007666667,137
index13,27.98872485663611,168
index14,73.71927332061111,191
index15,6.434887604683333,84
index16,86.71678889811758,196
index17,7.199015258999999,50
index18,0.6848844590000001,27
index19,32.114470493333336,69
index2,90.37035348510038,210
index20,1.1969699766000002,55
index21,90.07394988330026,210
index22,0.5545397253,32
index23,36.751797303500005,98
index24,0.311269939,27
index25,4.885375362263333,137
index26,63.21928222233334,124
index27,17.56208778396333,182
index28,0.47130044243,46
index29,3.264958642787959,210
index3,83.34058961673135,210
index30,2.1980389271791667,116
index31,24.53255315556333,108
index32,9.436252793,35
index33,27.588630715359997,151
index34,5.26210785,7
index35,3.1935466712081566,198
index36,0.266361594,15
index37,58.64020810212028,194
index38,0.16745687609999999,35
index39,0.46136910799999997,50
index4,79.67505176296176,210
index40,0.375582159,10
index41,27.840981693378566,130
index42,0.0581289344,18
index45,0.7600662278833333,64
index46,5.63878441,27
index47,17.184798193000002,50
index48,0.07091813905,21
index49,0.2625438239,11
index5,84.76528589552262,210
index50,0.25390037316499997,15
index54,0.548422754,9
index55,16.345992218,60
index56,0.328442335,5
index57,0.808345258,10
index58,0.12375860659999999,27
index59,0.28741527131,31
index6,59.97682501372061,204
index61,0.300073062075,34
index7,76.4208121510749,210
index74,0.679422021,10
index8,82.76428758124118,210
index9,47.723265140650916,174
leaked_target_0,11.376171241535786,210
leaked_target_1,11.346048804384326,210
leaked_target_10,12.751908815152428,210
leaked_target_11,9.913430366463196,210
leaked_target_12,12.966613127006946,210
leaked_target_13,10.73819871538086,210
leaked_target_14,35.0588223449997,210
leaked_target_15,486.3552720642216,210
leaked_target_16,13.571861515512255,210
leaked_target_17,11.28490724086891,210
leaked_target_18,12.43573402800526,210
leaked_target_19,14.116543825849563,210
leaked_target_2,11.717690833763479,210
leaked_target_20,12.000035013241918,210
leaked_target_21,13.148854003781343,210
leaked_target_22,12.53561947271692,210
leaked_target_23,11.245949211329352,210
leaked_target_24,11.760642988111087,210
leaked_target_25,13.39249681335828,210
leaked_target_26,9.482832313176196,210
leaked_target_27,12.061097140103504,210
leaked_target_28,11.599275307602047,210
leaked_target_29,10.856530878697528,210
leaked_target_3,11.826377267254847,210
leaked_target_30,9.672323924582107,210
leaked_target_31,9.998699337974443,210
leaked_target_32,13.154132237355618,210
leaked_target_33,9.56746643313626,210
leaked_target_34,12.823545539308123,210
leaked_target_35,13.278661410592065,197
leaked_target_36,10.345433675596679,190
leaked_target_37,6.285200059205555,119
leaked_target_4,16.445775661411577,210
leaked_target_5,12.918728418410057,210
leaked_target_6,284.7278615835163,210
leaked_target_7,13.742136023049321,210
leaked_target_8,11.29821550508752,210
leaked_target_9,12.711484973109089,210
nonzero_mean,501.00072791453545,210
